REDE,NR_LATITUDE_LOJA,NR_LONGITUDE_LOJA,ID_LOJA_LEGADO,TIPO_LOJA,FL_ANALISE_MADURAS,Qtd_Lojas_Venancio,Qtd_Lojas_Concorrentes,Qtd_Total_Lojas_Proximas
PACHECO,-22.8078988,-43.4160863,10258,CONCORRENTES,0,0,0,0
PACHECO,-22.8091967,-43.4172254,10259,CONCORRENTES,0,0,0,0
PACHECO,-22.8088526,-43.4169482,10260,CONCORRENTES,0,0,0,0
PACHECO,-22.8082024,-43.4160957,10261,CONCORRENTES,0,0,0,0
PACHECO,-22.8107384,-43.4210716,10262,CONCORRENTES,0,0,0,0
PACHECO,-22.8816533,-43.0863796,10263,CONCORRENTES,0,0,0,0
PACHECO,-22.9385845,-43.026586,10264,CONCORRENTES,0,0,0,0
PACHECO,-22.9146904,-43.0906817,10265,CONCORRENTES,0,0,0,0
PACHECO,-22.9080001,-43.066703,10266,CONCORRENTES,0,0,0,0
PACHECO,-22.91204,-43.07524,10267,CONCORRENTES,0,0,0,0
PACHECO,-22.8916923,-43.123371,10268,CONCORRENTES,0,0,0,0
PACHECO,-22.8930998,-43.1235192,10269,CONCORRENTES,0,0,0,0
PACHECO,-22.9074376,-43.0597442,10270,CONCORRENTES,0,0,0,0
PACHECO,-22.9509918,-43.0292622,10271,CONCORRENTES,0,0,0,0
PACHECO,-22.9385049,-43.0606544,10272,CONCORRENTES,0,0,0,0
PACHECO,-22.9061848,-43.1108978,10273,CONCORRENTES,0,0,0,0
PACHECO,-22.8944432,-43.1196085,10274,CONCORRENTES,0,0,0,0
PACHECO,-22.8945655,-43.1191191,10275,CONCORRENTES,0,0,0,0
PACHECO,-22.8939572,-43.1224333,10276,CONCORRENTES,0,0,0,0
PACHECO,-22.9044775,-43.1058212,10277,CONCORRENTES,0,0,0,0
PACHECO,-22.901739,-43.1222016,10278,CONCORRENTES,0,0,0,0
PACHECO,-22.8988298,-43.1056318,10279,CONCORRENTES,0,0,0,0
PACHECO,-22.8981938,-43.1040782,10280,CONCORRENTES,0,0,0,0
PACHECO,-22.9034083,-43.112236,10281,CONCORRENTES,0,0,0,0
PACHECO,-22.9028304,-43.1107667,10282,CONCORRENTES,0,0,0,0
PACHECO,-22.9041288,-43.1093355,10283,CONCORRENTES,0,0,0,0
PACHECO,-22.9051003,-43.1091934,10284,CONCORRENTES,0,0,0,0
PACHECO,-22.9074706,-43.1060722,10285,CONCORRENTES,0,0,0,0
PACHECO,-22.9029053,-43.1148858,10286,CONCORRENTES,0,0,0,0
PACHECO,-22.9027092,-43.1148951,10287,CONCORRENTES,0,0,0,0
PACHECO,-22.9041513,-43.1231872,10288,CONCORRENTES,0,0,0,0
PACHECO,-22.8967925,-43.12388,10289,CONCORRENTES,0,0,0,0
PACHECO,-22.8911448,-43.1225282,10290,CONCORRENTES,0,0,0,0
PACHECO,-22.8931167,-43.1224734,10291,CONCORRENTES,0,0,0,0
PACHECO,-22.2860552,-42.5317266,10292,CONCORRENTES,0,0,0,0
PACHECO,-22.295443,-42.538918,10293,CONCORRENTES,0,0,0,0
PACHECO,-22.2727377,-42.5264409,10294,CONCORRENTES,0,0,0,0
PACHECO,-22.7859341,-43.5434433,10295,CONCORRENTES,0,0,0,0
PACHECO,-22.7586532,-43.457614,10296,CONCORRENTES,0,0,0,0
PACHECO,-22.7585976,-43.4511234,10297,CONCORRENTES,0,0,0,0
PACHECO,-22.7581396,-43.4522889,10298,CONCORRENTES,0,0,0,0
PACHECO,-22.7598055,-43.4482161,10299,CONCORRENTES,0,0,0,0
PACHECO,-22.7532679,-43.4542096,10300,CONCORRENTES,0,0,0,0
PACHECO,-22.760242,-43.4498367,10301,CONCORRENTES,0,0,0,0
PACHECO,-22.8424031,-43.6084965,10302,CONCORRENTES,0,0,0,0
PACHECO,-22.7587637,-43.4504112,10303,CONCORRENTES,0,0,0,0
PACHECO,-22.7070918,-43.4291337,10304,CONCORRENTES,0,0,0,0
PACHECO,-22.7191636,-43.5240537,10305,CONCORRENTES,0,0,0,0
PACHECO,-22.7571866,-43.452547,10306,CONCORRENTES,0,0,0,0
PACHECO,-22.760368,-43.4537126,10307,CONCORRENTES,0,0,0,0
PACHECO,-22.7607949,-43.450491,10308,CONCORRENTES,0,0,0,0
PACHECO,-22.7608843,-43.4474187,10309,CONCORRENTES,0,0,0,0
PACHECO,-22.7437099,-43.486785,10310,CONCORRENTES,0,0,0,0
PACHECO,-23.2207374,-44.7227325,10311,CONCORRENTES,0,0,0,0
PACHECO,-22.4010393,-43.1343955,10312,CONCORRENTES,0,0,0,0
PACHECO,-22.5259953,-43.1930458,10313,CONCORRENTES,0,0,0,0
PACHECO,-22.5091083,-43.1727864,10314,CONCORRENTES,0,0,0,0
PACHECO,-22.5072728,-43.1918354,10315,CONCORRENTES,0,0,0,0
PACHECO,-22.5090748,-43.1698915,10316,CONCORRENTES,0,0,0,0
PACHECO,-22.7126449,-43.5766875,10317,CONCORRENTES,0,0,0,0
PACHECO,-22.7155953,-43.5569407,10318,CONCORRENTES,0,0,0,0
PACHECO,-22.4638545,-44.4483777,10319,CONCORRENTES,0,0,0,0
PACHECO,-22.4700932,-44.4609974,10320,CONCORRENTES,0,0,0,0
PACHECO,-22.4670101,-44.4533547,10321,CONCORRENTES,0,0,0,0
